nc_id,nc_date,defect_code,defect_description,process,source,supplier_id,severity,qty_affected,cost_eur
NC-00616,2025-06-14,D01,Connector crimp defect,Assembly,supplier,S07,Major,1,1568.7
NC-00617,2025-06-16,D03,Solder joint defect,Electronics,internal,,Minor,14,473.89
NC-00618,2025-06-16,D07,Cosmetic scratch,Assembly,internal,,Minor,2,89.41
NC-00619,2025-06-16,D05,Wrong or missing label,Packaging,internal,,Minor,9,144.15
NC-00620,2025-06-16,D06,Device history record incomplete,Documentation,internal,,Minor,23,8.16
NC-00621,2025-06-16,D03,Solder joint defect,Electronics,internal,,Minor,22,206.38
NC-00622,2025-06-16,D01,Connector crimp defect,Assembly,supplier,S07,Major,6,561.88
NC-00623,2025-06-18,D09,Incoming material out of spec,Incoming inspection,supplier,S04,Minor,15,632.55
NC-00624,2025-06-18,D01,Connector crimp defect,Assembly,supplier,S07,Minor,11,190.34
NC-00625,2025-06-19,D02,Dimensional out of tolerance,Machining,internal,,Minor,18,145.5
NC-00626,2025-06-19,D01,Connector crimp defect,Assembly,supplier,S07,Minor,8,1438.21
NC-00627,2025-06-20,D06,Device history record incomplete,Documentation,internal,,Minor,15,110.56
NC-00628,2025-06-20,D01,Connector crimp defect,Assembly,supplier,S07,Minor,5,951.72
NC-00629,2025-06-23,D05,Wrong or missing label,Packaging,internal,,Minor,2,368.45
NC-00630,2025-06-24,D04,Seal leak at pressure test,Final test,internal,,Minor,3,3551.21
NC-00631,2025-06-24,D01,Connector crimp defect,Assembly,supplier,S07,Minor,7,1232.42
NC-00632,2025-06-24,D01,Connector crimp defect,Assembly,supplier,S07,Minor,5,344.06
NC-00633,2025-06-25,D05,Wrong or missing label,Packaging,internal,,Minor,1,220.36
NC-00634,2025-06-25,D03,Solder joint defect,Electronics,internal,,Minor,2,476.47
NC-00635,2025-06-25,D07,Cosmetic scratch,Assembly,internal,,Major,15,243.74
NC-00636,2025-06-25,D01,Connector crimp defect,Assembly,supplier,S07,Major,8,3647.67
NC-00637,2025-06-26,D03,Solder joint defect,Electronics,internal,,Major,17,2374.13
NC-00638,2025-06-27,D01,Connector crimp defect,Assembly,supplier,S07,Minor,1,562.46
NC-00639,2025-06-28,D01,Connector crimp defect,Assembly,supplier,S07,Major,7,1357.77
NC-00640,2025-06-29,D01,Connector crimp defect,Assembly,supplier,S07,Minor,7,563.5
NC-00641,2025-06-30,D09,Incoming material out of spec,Incoming inspection,supplier,S01,Major,2,921.61
NC-00642,2025-07-01,D08,Firmware version mismatch,Final test,internal,,Minor,23,171.43
NC-00643,2025-07-01,D09,Incoming material out of spec,Incoming inspection,supplier,S03,Major,2,1562.51
NC-00644,2025-07-02,D01,Connector crimp defect,Assembly,supplier,S07,Minor,5,1486.87
NC-00645,2025-07-02,D01,Connector crimp defect,Assembly,supplier,S07,Major,17,1524.41
NC-00646,2025-07-03,D01,Connector crimp defect,Assembly,supplier,S10,Minor,22,1441.39
NC-00647,2025-07-04,D11,Test fixture calibration overdue,Final test,internal,,Minor,14,253.62
NC-00648,2025-07-04,D01,Connector crimp defect,Assembly,supplier,S07,Major,22,2230.86
NC-00649,2025-07-04,D01,Connector crimp defect,Assembly,supplier,S07,Minor,15,1082.14
NC-00650,2025-07-07,D01,Connector crimp defect,Assembly,supplier,S07,Minor,12,333.51
NC-00651,2025-07-08,D01,Connector crimp defect,Assembly,supplier,S06,Major,21,4541.79
NC-00652,2025-07-09,D02,Dimensional out of tolerance,Machining,internal,,Minor,12,1112.98
NC-00653,2025-07-09,D11,Test fixture calibration overdue,Final test,internal,,Minor,20,61.25
NC-00654,2025-07-09,D01,Connector crimp defect,Assembly,supplier,S07,Major,9,1105.65
NC-00655,2025-07-09,D01,Connector crimp defect,Assembly,supplier,S07,Minor,4,796.87
NC-00656,2025-07-10,D08,Firmware version mismatch,Final test,internal,,Minor,7,196.34
NC-00657,2025-07-10,D09,Incoming material out of spec,Incoming inspection,supplier,S05,Minor,17,325.41
NC-00658,2025-07-10,D02,Dimensional out of tolerance,Machining,internal,,Minor,16,245.54
NC-00659,2025-07-10,D01,Connector crimp defect,Assembly,supplier,S07,Major,13,502.58
NC-00660,2025-07-11,D05,Wrong or missing label,Packaging,internal,,Minor,17,100.08
NC-00661,2025-07-12,D01,Connector crimp defect,Assembly,supplier,S07,Major,8,5000.21
NC-00662,2025-07-13,D01,Connector crimp defect,Assembly,supplier,S07,Major,10,2190.59
NC-00663,2025-07-14,D03,Solder joint defect,Electronics,internal,,Minor,9,885.6
NC-00664,2025-07-14,D05,Wrong or missing label,Packaging,internal,,Minor,17,228.35
NC-00665,2025-07-14,D04,Seal leak at pressure test,Final test,internal,,Major,1,1875.08
NC-00666,2025-07-14,D01,Connector crimp defect,Assembly,supplier,S07,Minor,3,903.65
NC-00667,2025-07-15,D01,Connector crimp defect,Assembly,supplier,S07,Minor,13,2046.74
NC-00668,2025-07-16,D09,Incoming material out of spec,Incoming inspection,supplier,S03,Minor,16,60.6
NC-00669,2025-07-16,D05,Wrong or missing label,Packaging,internal,,Minor,20,17.17
NC-00670,2025-07-17,D03,Solder joint defect,Electronics,internal,,Major,21,236.42
NC-00671,2025-07-18,D04,Seal leak at pressure test,Final test,internal,,Minor,21,1352.37
NC-00672,2025-07-18,D01,Connector crimp defect,Assembly,supplier,S07,Minor,12,132.79
NC-00673,2025-07-18,D01,Connector crimp defect,Assembly,supplier,S07,Minor,22,123.72
NC-00674,2025-07-21,D01,Connector crimp defect,Assembly,supplier,S01,Major,1,760.98
NC-00675,2025-07-22,D02,Dimensional out of tolerance,Machining,internal,,Minor,9,237.14
NC-00676,2025-07-22,D10,Packaging damage in transit,Customer,customer,,Major,5,449.12
NC-00677,2025-07-23,D02,Dimensional out of tolerance,Machining,internal,,Minor,17,367.86
NC-00678,2025-07-23,D03,Solder joint defect,Electronics,internal,,Major,20,562.78
NC-00679,2025-07-24,D08,Firmware version mismatch,Final test,internal,,Major,1,942.27
NC-00680,2025-07-24,D02,Dimensional out of tolerance,Machining,internal,,Minor,8,423.53
NC-00681,2025-07-28,D08,Firmware version mismatch,Final test,internal,,Minor,16,391.45
NC-00682,2025-07-28,D06,Device history record incomplete,Documentation,internal,,Minor,19,132.51
NC-00683,2025-07-28,D06,Device history record incomplete,Documentation,internal,,Minor,16,154.86
NC-00684,2025-07-28,D03,Solder joint defect,Electronics,internal,,Major,2,616.92
NC-00685,2025-07-29,D03,Solder joint defect,Electronics,internal,,Minor,11,628.17
NC-00686,2025-07-30,D09,Incoming material out of spec,Incoming inspection,supplier,S01,Major,1,2787.0
NC-00687,2025-08-01,D03,Solder joint defect,Electronics,internal,,Minor,7,250.77
NC-00688,2025-08-01,D04,Seal leak at pressure test,Final test,internal,,Major,5,1154.81
NC-00689,2025-08-04,D06,Device history record incomplete,Documentation,internal,,Minor,9,42.78
NC-00690,2025-08-04,D01,Connector crimp defect,Assembly,supplier,S09,Major,17,3762.59
NC-00691,2025-08-05,D03,Solder joint defect,Electronics,internal,,Minor,16,486.88
NC-00692,2025-08-06,D02,Dimensional out of tolerance,Machining,internal,,Major,5,299.12
NC-00693,2025-08-06,D05,Wrong or missing label,Packaging,internal,,Minor,24,226.97
NC-00694,2025-08-06,D02,Dimensional out of tolerance,Machining,internal,,Minor,5,1342.77
NC-00695,2025-08-08,D01,Connector crimp defect,Assembly,supplier,S10,Major,24,445.06
NC-00696,2025-08-11,D01,Connector crimp defect,Assembly,supplier,S02,Minor,12,1110.78
NC-00697,2025-08-11,D06,Device history record incomplete,Documentation,internal,,Minor,24,107.3
NC-00698,2025-08-12,D02,Dimensional out of tolerance,Machining,internal,,Minor,16,181.7
NC-00699,2025-08-12,D10,Packaging damage in transit,Customer,customer,,Minor,5,314.26
NC-00700,2025-08-13,D11,Test fixture calibration overdue,Final test,internal,,Minor,13,229.01
NC-00701,2025-08-14,D03,Solder joint defect,Electronics,internal,,Minor,22,383.3
NC-00702,2025-08-14,D05,Wrong or missing label,Packaging,internal,,Minor,21,105.45
NC-00703,2025-08-15,D03,Solder joint defect,Electronics,internal,,Minor,15,938.52
NC-00704,2025-08-15,D10,Packaging damage in transit,Customer,customer,,Minor,23,143.47
NC-00705,2025-08-20,D07,Cosmetic scratch,Assembly,internal,,Minor,13,36.93
NC-00706,2025-08-20,D05,Wrong or missing label,Packaging,internal,,Major,15,583.13
NC-00707,2025-08-20,D01,Connector crimp defect,Assembly,supplier,S02,Major,11,616.9
NC-00708,2025-08-21,D07,Cosmetic scratch,Assembly,internal,,Major,3,213.1
NC-00709,2025-08-21,D03,Solder joint defect,Electronics,internal,,Minor,14,251.49
NC-00710,2025-08-22,D10,Packaging damage in transit,Customer,customer,,Major,20,507.94
NC-00711,2025-08-22,D06,Device history record incomplete,Documentation,internal,,Minor,21,9.84
NC-00712,2025-08-22,D07,Cosmetic scratch,Assembly,internal,,Minor,16,40.4
NC-00713,2025-08-25,D05,Wrong or missing label,Packaging,internal,,Minor,16,235.49
NC-00714,2025-08-26,D10,Packaging damage in transit,Customer,customer,,Minor,10,153.47
NC-00715,2025-08-26,D01,Connector crimp defect,Assembly,supplier,S11,Major,12,6474.6
NC-00716,2025-08-28,D02,Dimensional out of tolerance,Machining,internal,,Major,24,1578.87
NC-00717,2025-08-28,D02,Dimensional out of tolerance,Machining,internal,,Major,16,102.44
NC-00718,2025-08-28,D09,Incoming material out of spec,Incoming inspection,supplier,S06,Major,8,1434.53
NC-00719,2025-08-28,D06,Device history record incomplete,Documentation,internal,,Minor,22,58.92
NC-00720,2025-08-29,D07,Cosmetic scratch,Assembly,internal,,Minor,16,27.07
NC-00721,2025-09-01,D02,Dimensional out of tolerance,Machining,internal,,Minor,7,315.45
NC-00722,2025-09-03,D09,Incoming material out of spec,Incoming inspection,supplier,S06,Major,10,1109.23
NC-00723,2025-09-04,D07,Cosmetic scratch,Assembly,internal,,Minor,21,132.84
NC-00724,2025-09-04,D01,Connector crimp defect,Assembly,supplier,S11,Minor,4,806.53
NC-00725,2025-09-05,D02,Dimensional out of tolerance,Machining,internal,,Minor,15,811.32
NC-00726,2025-09-08,D02,Dimensional out of tolerance,Machining,internal,,Minor,17,989.24
NC-00727,2025-09-08,D11,Test fixture calibration overdue,Final test,internal,,Major,19,653.95
NC-00728,2025-09-09,D04,Seal leak at pressure test,Final test,internal,,Minor,13,159.31
NC-00729,2025-09-11,D05,Wrong or missing label,Packaging,internal,,Minor,20,13.08
NC-00730,2025-09-11,D10,Packaging damage in transit,Customer,customer,,Minor,2,164.58
NC-00731,2025-09-12,D06,Device history record incomplete,Documentation,internal,,Minor,20,120.75
NC-00732,2025-09-12,D02,Dimensional out of tolerance,Machining,internal,,Minor,8,517.86
NC-00733,2025-09-15,D03,Solder joint defect,Electronics,internal,,Minor,6,135.4
NC-00734,2025-09-16,D05,Wrong or missing label,Packaging,internal,,Minor,17,51.38
NC-00735,2025-09-16,D02,Dimensional out of tolerance,Machining,internal,,Major,1,941.75
NC-00736,2025-09-17,D09,Incoming material out of spec,Incoming inspection,supplier,S09,Minor,14,949.71
NC-00737,2025-09-18,D07,Cosmetic scratch,Assembly,internal,,Minor,6,21.02
NC-00738,2025-09-18,D07,Cosmetic scratch,Assembly,internal,,Major,8,107.1
NC-00739,2025-09-23,D06,Device history record incomplete,Documentation,internal,,Major,11,440.13
NC-00740,2025-09-23,D02,Dimensional out of tolerance,Machining,internal,,Major,21,850.28
NC-00741,2025-09-24,D08,Firmware version mismatch,Final test,internal,,Major,21,417.31
NC-00742,2025-09-24,D06,Device history record incomplete,Documentation,internal,,Minor,4,192.81
NC-00743,2025-09-25,D03,Solder joint defect,Electronics,internal,,Minor,11,960.61
NC-00744,2025-09-25,D04,Seal leak at pressure test,Final test,internal,,Minor,19,4813.37
NC-00745,2025-09-25,D09,Incoming material out of spec,Incoming inspection,supplier,S06,Major,8,1765.17
NC-00746,2025-09-26,D08,Firmware version mismatch,Final test,internal,,Minor,24,451.14
NC-00747,2025-09-26,D09,Incoming material out of spec,Incoming inspection,supplier,S05,Critical,7,253.31
NC-00748,2025-09-26,D10,Packaging damage in transit,Customer,customer,,Minor,21,382.32
NC-00749,2025-09-29,D01,Connector crimp defect,Assembly,supplier,S03,Minor,18,1392.27
NC-00750,2025-09-29,D01,Connector crimp defect,Assembly,supplier,S12,Minor,21,1143.98
NC-00751,2025-09-29,D08,Firmware version mismatch,Final test,internal,,Minor,18,418.68
NC-00752,2025-09-30,D10,Packaging damage in transit,Customer,customer,,Minor,24,283.31
NC-00753,2025-09-30,D05,Wrong or missing label,Packaging,internal,,Minor,7,117.15
NC-00754,2025-10-01,D10,Packaging damage in transit,Customer,customer,,Minor,17,173.01
NC-00755,2025-10-01,D07,Cosmetic scratch,Assembly,internal,,Major,22,103.15
NC-00756,2025-10-01,D01,Connector crimp defect,Assembly,supplier,S02,Minor,3,582.41
NC-00757,2025-10-03,D03,Solder joint defect,Electronics,internal,,Minor,17,580.85
NC-00758,2025-10-06,D03,Solder joint defect,Electronics,internal,,Major,23,2243.15
NC-00759,2025-10-07,D03,Solder joint defect,Electronics,internal,,Minor,11,439.9
NC-00760,2025-10-07,D07,Cosmetic scratch,Assembly,internal,,Major,16,13.49
NC-00761,2025-10-08,D02,Dimensional out of tolerance,Machining,internal,,Minor,6,289.4
NC-00762,2025-10-08,D03,Solder joint defect,Electronics,internal,,Minor,12,561.93
NC-00763,2025-10-10,D10,Packaging damage in transit,Customer,customer,,Minor,3,635.97
NC-00764,2025-10-13,D04,Seal leak at pressure test,Final test,internal,,Minor,14,1201.79
NC-00765,2025-10-13,D05,Wrong or missing label,Packaging,internal,,Major,22,477.72
NC-00766,2025-10-14,D02,Dimensional out of tolerance,Machining,internal,,Minor,24,437.6
NC-00767,2025-10-14,D10,Packaging damage in transit,Customer,customer,,Minor,16,72.82
NC-00768,2025-10-14,D05,Wrong or missing label,Packaging,internal,,Major,9,157.89
NC-00769,2025-10-14,D09,Incoming material out of spec,Incoming inspection,supplier,S10,Major,22,523.32
NC-00770,2025-10-15,D04,Seal leak at pressure test,Final test,internal,,Minor,19,1199.37
NC-00771,2025-10-15,D08,Firmware version mismatch,Final test,internal,,Minor,12,261.57
NC-00772,2025-10-16,D06,Device history record incomplete,Documentation,internal,,Critical,12,229.58
NC-00773,2025-10-16,D01,Connector crimp defect,Assembly,supplier,S12,Minor,24,2417.54
NC-00774,2025-10-17,D08,Firmware version mismatch,Final test,internal,,Minor,9,658.49
NC-00775,2025-10-17,D06,Device history record incomplete,Documentation,internal,,Minor,6,37.66
NC-00776,2025-10-22,D03,Solder joint defect,Electronics,internal,,Minor,13,778.64
NC-00777,2025-10-22,D03,Solder joint defect,Electronics,internal,,Minor,14,782.83
NC-00778,2025-10-22,D01,Connector crimp defect,Assembly,supplier,S01,Minor,12,658.66
NC-00779,2025-10-22,D06,Device history record incomplete,Documentation,internal,,Major,8,167.98
NC-00780,2025-10-23,D10,Packaging damage in transit,Customer,customer,,Major,4,580.55
NC-00781,2025-10-23,D09,Incoming material out of spec,Incoming inspection,supplier,S05,Major,14,904.84
NC-00782,2025-10-28,D05,Wrong or missing label,Packaging,internal,,Major,2,90.2
NC-00783,2025-10-28,D09,Incoming material out of spec,Incoming inspection,supplier,S10,Major,14,1138.73
NC-00784,2025-10-29,D08,Firmware version mismatch,Final test,internal,,Minor,1,40.68
NC-00785,2025-10-29,D01,Connector crimp defect,Assembly,supplier,S04,Minor,21,1044.74
NC-00786,2025-10-30,D03,Solder joint defect,Electronics,internal,,Minor,3,798.77
NC-00787,2025-10-31,D09,Incoming material out of spec,Incoming inspection,supplier,S12,Minor,3,267.05
NC-00788,2025-10-31,D06,Device history record incomplete,Documentation,internal,,Minor,16,234.48
NC-00789,2025-10-31,D05,Wrong or missing label,Packaging,internal,,Minor,17,110.32
NC-00790,2025-11-04,D06,Device history record incomplete,Documentation,internal,,Major,22,238.7
NC-00791,2025-11-04,D09,Incoming material out of spec,Incoming inspection,supplier,S11,Minor,1,788.28
NC-00792,2025-11-05,D08,Firmware version mismatch,Final test,internal,,Major,18,946.19
NC-00793,2025-11-05,D03,Solder joint defect,Electronics,internal,,Critical,16,939.78
NC-00794,2025-11-06,D03,Solder joint defect,Electronics,internal,,Minor,15,478.81
NC-00795,2025-11-10,D08,Firmware version mismatch,Final test,internal,,Minor,3,259.64
NC-00796,2025-11-10,D04,Seal leak at pressure test,Final test,internal,,Minor,20,1236.1
NC-00797,2025-11-11,D02,Dimensional out of tolerance,Machining,internal,,Minor,7,526.23
NC-00798,2025-11-13,D06,Device history record incomplete,Documentation,internal,,Major,5,496.12
NC-00799,2025-11-14,D07,Cosmetic scratch,Assembly,internal,,Minor,20,105.88
NC-00800,2025-11-14,D01,Connector crimp defect,Assembly,supplier,S06,Major,1,3414.7
NC-00801,2025-11-14,D08,Firmware version mismatch,Final test,internal,,Minor,4,1282.69
NC-00802,2025-11-17,D09,Incoming material out of spec,Incoming inspection,supplier,S09,Minor,13,1349.05
NC-00803,2025-11-17,D10,Packaging damage in transit,Customer,customer,,Critical,6,1093.18
NC-00804,2025-11-18,D07,Cosmetic scratch,Assembly,internal,,Minor,2,74.26
NC-00805,2025-11-18,D08,Firmware version mismatch,Final test,internal,,Minor,1,484.07
NC-00806,2025-11-24,D03,Solder joint defect,Electronics,internal,,Critical,3,1267.89
NC-00807,2025-11-25,D02,Dimensional out of tolerance,Machining,internal,,Minor,20,532.3
NC-00808,2025-11-25,D05,Wrong or missing label,Packaging,internal,,Minor,2,245.3
NC-00809,2025-11-25,D03,Solder joint defect,Electronics,internal,,Major,22,265.16
NC-00810,2025-11-26,D01,Connector crimp defect,Assembly,supplier,S09,Minor,2,1160.58
NC-00811,2025-11-26,D01,Connector crimp defect,Assembly,supplier,S06,Critical,5,9794.27
NC-00812,2025-11-26,D11,Test fixture calibration overdue,Final test,internal,,Minor,2,63.03
NC-00813,2025-11-26,D01,Connector crimp defect,Assembly,supplier,S09,Minor,8,849.38
NC-00814,2025-11-26,D09,Incoming material out of spec,Incoming inspection,supplier,S01,Minor,19,1269.2
NC-00815,2025-11-27,D02,Dimensional out of tolerance,Machining,internal,,Major,15,2149.8
NC-00816,2025-11-27,D03,Solder joint defect,Electronics,internal,,Minor,14,665.89
NC-00817,2025-11-27,D03,Solder joint defect,Electronics,internal,,Major,8,331.55
NC-00818,2025-11-27,D05,Wrong or missing label,Packaging,internal,,Major,23,319.84
NC-00819,2025-11-27,D01,Connector crimp defect,Assembly,supplier,S08,Minor,5,665.47
NC-00820,2025-11-28,D10,Packaging damage in transit,Customer,customer,,Minor,22,696.95
NC-00821,2025-12-01,D07,Cosmetic scratch,Assembly,internal,,Major,23,64.85
NC-00822,2025-12-02,D10,Packaging damage in transit,Customer,customer,,Minor,3,128.29
NC-00823,2025-12-03,D08,Firmware version mismatch,Final test,internal,,Minor,17,746.16
NC-00824,2025-12-04,D05,Wrong or missing label,Packaging,internal,,Minor,3,45.13
NC-00825,2025-12-05,D09,Incoming material out of spec,Incoming inspection,supplier,S11,Minor,7,481.64
NC-00826,2025-12-05,D04,Seal leak at pressure test,Final test,internal,,Minor,2,119.13
NC-00827,2025-12-05,D05,Wrong or missing label,Packaging,internal,,Critical,7,1157.15
NC-00828,2025-12-08,D03,Solder joint defect,Electronics,internal,,Minor,19,231.66
NC-00829,2025-12-08,D04,Seal leak at pressure test,Final test,internal,,Minor,6,1117.37
NC-00830,2025-12-08,D06,Device history record incomplete,Documentation,internal,,Critical,1,405.85
NC-00831,2025-12-08,D09,Incoming material out of spec,Incoming inspection,supplier,S08,Major,7,1164.29
NC-00832,2025-12-08,D05,Wrong or missing label,Packaging,internal,,Major,9,236.58
NC-00833,2025-12-12,D10,Packaging damage in transit,Customer,customer,,Critical,8,462.71
NC-00834,2025-12-15,D05,Wrong or missing label,Packaging,internal,,Minor,4,136.9
NC-00835,2025-12-15,D04,Seal leak at pressure test,Final test,internal,,Minor,21,178.81
NC-00836,2025-12-15,D11,Test fixture calibration overdue,Final test,internal,,Minor,13,235.04
NC-00837,2025-12-16,D03,Solder joint defect,Electronics,internal,,Minor,11,785.15
NC-00838,2025-12-17,D03,Solder joint defect,Electronics,internal,,Critical,13,1286.63
NC-00839,2025-12-18,D04,Seal leak at pressure test,Final test,internal,,Minor,23,2364.78
NC-00840,2025-12-18,D02,Dimensional out of tolerance,Machining,internal,,Minor,14,2697.18
NC-00841,2025-12-19,D04,Seal leak at pressure test,Final test,internal,,Minor,11,1354.41
NC-00842,2025-12-19,D10,Packaging damage in transit,Customer,customer,,Major,13,156.03
NC-00843,2025-12-19,D01,Connector crimp defect,Assembly,supplier,S02,Minor,24,335.41
NC-00844,2025-12-19,D07,Cosmetic scratch,Assembly,internal,,Minor,7,22.07
NC-00845,2025-12-23,D08,Firmware version mismatch,Final test,internal,,Major,21,185.96
NC-00846,2025-12-23,D02,Dimensional out of tolerance,Machining,internal,,Minor,14,695.67
NC-00847,2025-12-23,D04,Seal leak at pressure test,Final test,internal,,Minor,9,1701.23
NC-00848,2025-12-24,D07,Cosmetic scratch,Assembly,internal,,Minor,6,19.36
NC-00849,2025-12-24,D04,Seal leak at pressure test,Final test,internal,,Major,13,819.2
NC-00850,2025-12-26,D09,Incoming material out of spec,Incoming inspection,supplier,S04,Major,10,1541.89
NC-00851,2025-12-30,D06,Device history record incomplete,Documentation,internal,,Minor,21,58.88
NC-00852,2025-12-31,D02,Dimensional out of tolerance,Machining,internal,,Major,17,708.57
NC-00853,2025-12-31,D10,Packaging damage in transit,Customer,customer,,Major,10,155.02
NC-00854,2025-12-31,D03,Solder joint defect,Electronics,internal,,Minor,14,104.63
